,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
31962,Farmers Property and Casualty Insurance Company,7003063,7/14/2020,7/24/2020,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,10
31965,"Anthem Health Plans, Inc",7021241,4/25/2019,6/17/2019,Individual,Exchange&ndash;Individual Health,Marketing & Sales,Misappropriation of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,53
31966,"ConnectiCare Insurance Company, Inc",7017774,5/1/2018,5/22/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,323.61,Closed,21
31967,John Hancock Life Insurance Company (USA),7019309,8/20/2019,8/30/2019,Individual,Long Term Care,Underwriting,Premium & Rating,No Action Requested/Required,Company Position Upheld,0,Closed,10
31968,Brighthouse Life Insurance Company,7010807,3/3/2021,3/3/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
31970,Brighthouse Life Insurance Company,7002420,6/11/2020,6/11/2020,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
31971,Genworth Life Insurance Company,7022120,8/16/2019,9/4/2019,Individual,Long Term Care,Underwriting,Premium & Rating,No Action Requested/Required,Company Position Upheld,0,Closed,19
31972,Pacific Specialty Insurance Company,7003741,9/15/2020,10/13/2020,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,28
31973,UnitedHealthcare Insurance Company,7004222,9/22/2020,10/26/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Claim Settled,Company Position Upheld,2989.66,Closed,34
31974,"Anthem Health Plans, Inc",7007463,3/12/2018,6/5/2018,Group,Health Only,Claim Handling,Coordination of Benefits,Claim Settled,Company Position Upheld,5427.27,Closed,85
31975,"Anthem Health Plans, Inc",7007040,1/11/2018,1/25/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,14
31976,Transamerica Life Insurance Company,7012805,10/2/2018,10/2/2018,Group,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
31977,Transamerica Life Insurance Company,7014454,2/4/2019,4/30/2019,Individual,Long Term Care,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,37082.6,Closed,85
31978,Bankers Life and Casualty Company,7011179,3/9/2021,3/23/2021,Individual,Long Term Care,Marketing & Sales,Misappropriation of Premium,No Action Requested/Required,Company Position Upheld,0,Closed,14
31979,"Anthem Health Plans, Inc",7017113,7/30/2018,11/1/2018,Individual,Exchange&ndash;Individual Health,Underwriting,Cancellation,No Action Requested/Required,Company Position Upheld,0,Closed,94
31980,UnitedHealthcare Insurance Company,7021723,8/9/2019,8/26/2019,Individual,Dental,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,167.2,Closed,17
31981,"ConnectiCare Insurance Company, Inc",7014336,10/24/2018,11/1/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,919,Closed,8
31982,ConnectiCare Inc,7012509,1/3/2019,1/14/2019,Individual,Exchange&ndash;Individual Health,Underwriting,Cancellation,No Action Requested/Required,Company Position Upheld,0,Closed,11
31983,"Anthem Health Plans, Inc",7013245,11/28/2018,2/22/2019,Individual,Exchange&ndash;Individual Health,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,86
31984,MedAmerica Insurance Company,7008583,1/30/2018,2/1/2018,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,2
31986,"Anthem Health Plans, Inc",7016159,7/17/2018,8/24/2018,Individual,Exchange&ndash;Individual Health,Marketing & Sales,Misappropriation of Premium,Company Position Substantiated,Company Position Upheld,0,Closed,38
31987,Government Employees Insurance Company,7047600,8/30/2022,9/26/2022,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,27
31988,Aetna Health Inc,7017866,11/21/2019,12/9/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,18
31989,"ConnectiCare Insurance Company, Inc",7012010,9/19/2018,10/9/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,20
31991,"Anthem Health Plans, Inc",7016753,8/23/2018,10/4/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,Coordination of Benefits,Claim Settled,Company Position Upheld,0,Closed,42
31992,"Oxford Health Plans (CT), Inc",7016343,7/19/2018,10/1/2018,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Company Position Upheld,0,Closed,74
31993,Northland Insurance Company,7003292,8/17/2020,11/4/2020,Commercial,Commercial Auto,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,79
31995,"Anthem Health Plans, Inc",7001398,3/30/2020,4/14/2020,Group,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,15
31996,State Farm Fire & Casualty Company,7007693,9/14/2021,10/18/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,34
31997,"ConnectiCare Insurance Company, Inc",7000635,2/13/2020,3/20/2020,Individual,Health Only,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,36
31998,"ConnectiCare Insurance Company, Inc",7011027,5/5/2021,6/9/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,35
31999,Talcott Resolution Life Insurance Company,7019429,7/10/2019,7/17/2019,Individual Life,Liability,Claim Handling,Other,No Action Requested/Required,Company Position Upheld,0,Closed,7
32000,Travelers Home and Marine Insurance Company (The),7009637,2/11/2021,3/8/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,25
32001,CSAA Fire & Casualty Insurance Company,7017746,5/1/2018,5/17/2018,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,16
32005,State Farm Fire & Casualty Company,7001470,4/7/2020,4/27/2020,Commercial Multi&ndash;Peril,Commercial Fire,Underwriting,Cancellation,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,20
32006,Century&ndash;National Insurance Company,7010435,4/26/2021,5/13/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,17
32007,American Commerce Insurance Company,7020506,4/15/2019,4/24/2019,Homeowners,Homeowners,Underwriting,Nonrenewal,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,9
32009,"Anthem Health Plans, Inc",7005082,12/15/2020,4/10/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,31,Closed,116
32010,"Anthem Health Plans, Inc",7019444,7/11/2019,7/26/2019,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Claim Settled,Company Position Upheld,3662.55,Closed,15
32011,Utica First Insurance Company,7001016,3/11/2020,4/22/2020,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,42
32012,"Anthem Health Plans, Inc",7016096,6/6/2018,6/27/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,21
32013,Reliance Standard Life Insurance Company,7007456,3/9/2018,4/3/2018,Group,Health Only,PolicyHolder Service,Delays/No Response,Claim Settled,Company Position Upheld,0,Closed,25
32014,"Foremost Insurance Company Grand Rapids, Michigan",7017080,7/27/2018,8/9/2018,General,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,13
32015,"Foremost Insurance Company Grand Rapids, Michigan",7015359,5/24/2018,8/14/2018,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,82
32016,"Anthem Health Plans, Inc",7014608,2/4/2019,3/26/2019,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,50
32017,Transamerica Life Insurance Company,7020869,4/22/2019,4/23/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,1
32018,Aetna Life Insurance Company,7001682,3/26/2020,4/7/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,12
32019,UnitedHealthcare Insurance Company,7010507,6/7/2021,6/30/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,23
32020,UnitedHealthcare Insurance Company,7011694,1/27/2021,1/29/2021,Group,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,2
32021,Metropolitan Life Insurance Company,7022122,8/16/2019,9/11/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,26
32023,"Anthem Health Plans, Inc",7006794,10/20/2021,11/2/2021,A & H,Liability,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,13
32024,"ConnectiCare Insurance Company, Inc",7004405,10/28/2020,12/21/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,408,Closed,54
32025,Allstate Insurance Company,7007437,1/17/2018,2/6/2018,Other [Enter Coverage],Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,20
32026,Brighthouse Life Insurance Company,7010037,2/18/2021,2/18/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
32027,"Anthem Health Plans, Inc",7017929,10/7/2019,12/20/2019,Individual,Medicare Supplement(Policies or Certs),Claim Handling,Coordination of Benefits,Claim Settled,Company Position Upheld,120.2,Closed,74
32028,Brighthouse Life Insurance Company,7008736,3/17/2021,4/6/2021,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,20
32029,Allianz Life Insurance Company of North America,7016717,7/24/2018,8/6/2018,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,13
32030,Travelers Personal Security Insurance Company,7009656,2/11/2021,3/9/2021,Homeowners,Homeowners,Underwriting,Cancellation,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,26
32031,"Harvard Pilgrim Health Care of Connecticut, Inc.",7022042,5/17/2019,5/24/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,7
32032,"Oxford Health Plans (CT), Inc",7008092,9/21/2021,10/5/2021,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Claim Settled,Company Position Upheld,386.5,Closed,14
32033,"Cigna HealthCare of Connecticut, Inc",7008629,8/11/2021,9/1/2021,Group,Health Only,Claim Handling,UR Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,21
32034,Brighthouse Life Insurance Company,7021634,5/3/2019,5/17/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,14
32035,Integon National Insurance Company,7014987,6/26/2018,7/24/2018,Homeowners,Homeowners,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,28
32036,ConnectiCare Inc,7017021,4/23/2018,5/17/2018,Individual,Health Only,Underwriting,Cancellation,No Action Requested/Required,Company Position Upheld,0,Closed,24
32037,State Farm Fire & Casualty Company,7006478,2/16/2018,3/7/2018,Dwelling Fire,Liability,Underwriting,Refusal to Insure,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,19
32041,Aetna Health Inc,7009645,2/11/2021,3/22/2021,Group,Health Only,Claim Handling,Eligibility of Provider,No Action Requested/Required,Company Position Upheld,0,Closed,39
32042,Integon National Insurance Company,7006132,8/23/2021,9/7/2021,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,15
32043,"ConnectiCare Insurance Company, Inc",7011840,9/18/2018,9/25/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,7
32045,Metropolitan Life Insurance Company,7004285,10/21/2020,11/3/2020,Individual,Long Term Care,Underwriting,Premium & Rating,No Action Requested/Required,Company Position Upheld,0,Closed,13
32046,"HPHC Insurance Company, Inc.",7007507,9/10/2021,10/1/2021,Individual,Health Only,Claim Handling,Claim Denial,No Action Requested/Required,Company Position Upheld,0,Closed,21
32047,Aetna Life Insurance Company,7014294,2/28/2019,3/8/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Insufficient Information,Company Position Upheld,0,Closed,8
32048,"Oxford Health Plans (CT), Inc",7004742,11/19/2020,12/29/2020,Group,Health Only,Claim Handling,UR Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,40
32049,"Anthem Health Plans, Inc",7000692,2/21/2020,3/10/2020,Individual,Medicare Supplement(Policies or Certs),Underwriting,Cancellation,Compromised Settlement/Resolution,Company Position Upheld,287.33,Closed,18
32050,"Oxford Health Plans (CT), Inc",7016470,6/12/2018,6/19/2018,Group,Health Only,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,5275.4,Closed,7
32051,United Property & Casualty Insurance Company,7008103,9/21/2021,11/1/2021,Homeowners,Homeowners,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,41
32052,"ConnectiCare Insurance Company, Inc",7019584,5/31/2019,6/14/2019,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,13627,Closed,14
32053,CSAA Fire & Casualty Insurance Company,7014021,12/11/2018,12/31/2018,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,20
32054,"ConnectiCare Benefits, Inc.",7002841,7/10/2020,8/13/2020,Individual,Exchange&ndash;Individual Health,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,332.5,Closed,34
32055,Allstate Fire and Casualty Insurance Company,7011522,1/25/2021,2/18/2021,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,24
32056,UnitedHealthcare Insurance Company,7009242,2/4/2021,2/17/2021,Group,Health Only,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,13
32057,New York Life Insurance Company,7008945,4/1/2021,4/21/2021,Individual Life,Liability,Underwriting,Refusal to Insure,Company Position Substantiated,Company Position Upheld,0,Closed,20
32058,UnitedHealthcare Insurance Company,7009377,5/19/2021,6/3/2021,Individual,Medicare Advantage,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,0,Closed,15
32059,Genworth Life Insurance Company,7006763,10/19/2021,10/21/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,2
32060,"Harvard Pilgrim Health Care of Connecticut, Inc.",7018121,10/11/2019,10/18/2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,7
32061,Federal Life Insurance Company,7017208,4/25/2018,4/25/2018,Group Life,Liability,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,0
32062,UnitedHealthcare Insurance Company,7013823,12/6/2018,12/26/2018,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Premium Notice/Billing,No Action Requested/Required,Company Position Upheld,0,Closed,20
32063,UnitedHealthcare Insurance Company,7021993,5/8/2019,5/23/2019,Individual,Medicare Advantage,Marketing & Sales,High Pressure Tactics,No Action Requested/Required,Company Position Upheld,0,Closed,15
32064,John Hancock Life & Health Insurance Company,7013193,10/10/2018,10/22/2018,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,12
32065,Integon National Insurance Company,7008999,5/13/2021,5/25/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,12
32066,Farmers Property and Casualty Insurance Company,7004567,10/15/2020,10/21/2020,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,No Jurisdiction,Company Position Upheld,0,Closed,6
32067,"Oxford Health Plans (CT), Inc",7014307,3/1/2019,3/6/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,5
32068,"ConnectiCare Insurance Company, Inc",7013007,10/4/2018,10/24/2018,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,1279.17,Closed,20
32069,"Anthem Health Plans, Inc",7005615,12/29/2020,1/8/2021,A & H,Liability,Claim Handling,Claim Procedure,Insufficient Information,Company Position Upheld,0,Closed,10
32070,Cigna Health and Life Insurance Company,7009071,2/3/2021,2/19/2021,Individual,Dental,Claim Handling,Coordination of Benefits,No Action Requested/Required,Company Position Upheld,0,Closed,16
32071,Connecticut Attorneys Title Insurance Company,7018126,10/15/2019,11/18/2019,Homeowners,Homeowners,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,34
32072,Brighthouse Life Insurance Company,7001875,4/30/2020,5/18/2020,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,18
32074,Transamerica Premier LIfe Insurance Company,7019170,5/13/2019,6/10/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,28
32075,Universal North America Insurance Company,7006263,2/9/2018,2/20/2018,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,11
32076,Global Liberty Insurance Company of New York,7007484,3/12/2018,3/27/2018,Commercial,Commercial Auto,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,15
32077,Nationwide Property & Casualty Insurance Company,7009457,2/9/2021,3/10/2021,Other [Enter Coverage],Liability,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,29
32078,Inverin Insurance Company,7008269,2/26/2018,3/9/2018,Individual,Dental,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,11
32079,Utica First Insurance Company,7010941,8/2/2021,9/7/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,36
32081,"Cigna HealthCare of Connecticut, Inc",7017566,4/27/2018,6/28/2018,Group,Health Only,Claim Handling,Coordination of Benefits,Claim Settled,Company Position Upheld,0,Closed,62
32084,Brighthouse Life Insurance Company,7011246,5/10/2021,5/11/2021,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,1
32085,Aetna Life Insurance Company,7011005,3/8/2021,3/31/2021,Group Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,23
32086,National Fire Insurance Company of Hartford,7012394,9/24/2018,9/26/2018,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,2
32087,"Anthem Health Plans, Inc",7009572,7/9/2021,7/22/2021,A & H,Liability,Claim Handling,UR Procedure,Insufficient Information,Company Position Upheld,0,Closed,13
32089,ConnectiCare Inc,7005641,12/31/2020,2/10/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,No Action Requested/Required,Company Position Upheld,0,Closed,41
32090,Genworth Life Insurance Company,7000269,1/24/2020,1/27/2020,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,3
32091,American Strategic Insurance Corp.,7009988,8/4/2021,9/8/2021,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,35
32092,"ConnectiCare Insurance Company, Inc",7018671,10/30/2019,11/19/2019,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Company Position Upheld,0,Closed,20
32093,TIAA&ndash;CREF Life Insurance Company,7022020,5/9/2019,5/29/2019,Group Annuities,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,20
32094,American Security Insurance Company,7018888,11/7/2019,12/27/2019,Homeowners,Homeowners,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,50
32095,Arch Insurance Company,7010206,2/19/2021,3/30/2021,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,39
32096,"ConnectiCare Insurance Company, Inc",7015176,6/28/2018,8/3/2018,Individual,Health Only,Claim Handling,Claim Procedure,Claim Settled,Company Position Upheld,3779,Closed,36
32097,"Anthem Health Plans, Inc",7000442,2/5/2020,3/16/2020,Group,Health Only,PolicyHolder Service,Delays/No Response,Claim Settled,Company Position Upheld,0,Closed,40
32098,Transamerica Life Insurance Company,7020824,9/17/2019,12/19/2019,Individual,Long Term Care,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,93
32099,"Oxford Health Plans (CT), Inc",7005477,1/14/2021,1/19/2021,Group,Health Only,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,5
32100,"Anthem Health Plans, Inc",7003980,10/1/2020,10/14/2020,A & H,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,13
32101,"Anthem Health Plans, Inc",7013021,11/19/2018,12/5/2018,Individual,Exchange&ndash;Individual Health,PolicyHolder Service,Premium Notice/Billing,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,16
32102,UnitedHealthcare Insurance Company,7000402,2/4/2020,2/19/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,15
32103,"Anthem Health Plans, Inc",7018397,10/22/2019,1/13/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,261.73,Closed,83
32105,"Anthem Health Plans, Inc",7016634,4/16/2018,4/18/2018,Individual,Exchange&ndash;Individual Health,Claim Handling,Eligibility of Provider,Insufficient Information,Company Position Upheld,0,Closed,2
32106,RLI Insurance Company,7016084,6/5/2018,6/20/2018,Umbrella,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,15
32107,"ConnectiCare Insurance Company, Inc",7019247,5/23/2019,6/17/2019,Individual,Health Only,Marketing & Sales,Misappropriation of Premium,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,25
32108,Homesite Insurance Company,7008756,3/18/2021,4/8/2021,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,21
32109,Colonial Life & Accident Insurance Company,7015799,8/27/2018,9/14/2018,Group,Disability Income,Marketing & Sales,Misappropriation of Premium,Compromised Settlement/Resolution,Company Position Upheld,0,Closed,18
32110,Equitable Financial Life Insurance Company,7001060,3/13/2020,3/31/2020,Individual Life,Liability,PolicyHolder Service,Delays/No Response,No Action Requested/Required,Company Position Upheld,0,Closed,18
32111,Colorado Bankers Life Insurance Company,7000163,1/3/2020,1/15/2020,Individual Life,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,12
32112,"Anthem Health Plans, Inc",7001681,3/26/2020,4/6/2020,A & H,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,0,Closed,11
32114,"Anthem Health Plans, Inc",7013323,3/6/2019,3/11/2019,Group,Health Only,Underwriting,CT Continuation 38a&ndash;512a,No Action Requested/Required,Company Position Upheld,0,Closed,5
32115,Harleysville Preferred Insurance Company,7013994,12/10/2018,1/9/2019,Homeowners,Homeowners,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,30
32116,"Anthem Health Plans, Inc",7013349,3/7/2019,4/4/2019,Group,Health Only,PolicyHolder Service,Delays/No Response,Claim Settled,Company Position Upheld,0,Closed,28
32117,"Anthem Health Plans, Inc",7000776,2/26/2020,4/27/2020,Group,Health Only,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,9135.44,Closed,61
32118,Connecticut FAIR Plan,7008448,8/10/2021,9/29/2021,Homeowners,Homeowners,Claim Handling,Claim Procedure,Company Position Substantiated,Company Position Upheld,0,Closed,50
32119,Genworth Life Insurance Company,7003594,9/3/2020,9/17/2020,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,14
32120,"ConnectiCare Benefits, Inc.",7005239,12/9/2020,1/8/2021,Individual,Exchange&ndash;Individual Health,Claim Handling,Eligibility of Provider,Claim Settled,Company Position Upheld,19123.26,Closed,30
32121,United States Fire Insurance Company,7002622,6/29/2020,7/31/2020,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,32
32122,Trumbull Insurance Company,7004088,10/8/2020,11/2/2020,Homeowners,Homeowners,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,25
32123,Aetna Health and Life Insurance Company,7018525,12/17/2019,7/17/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Company Position Upheld,2000,Closed,213
32124,"ConnectiCare Insurance Company, Inc",7000844,2/28/2020,3/23/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,24
32125,Genworth Life Insurance Company,7014440,2/1/2019,2/1/2019,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,0
32126,"Anthem Health Plans, Inc",7012651,11/14/2018,12/6/2018,Group,Disability Income,Claim Handling,Eligibility of Provider,No Action Requested/Required,Company Position Upheld,0,Closed,22
32127,"Oxford Health Plans (CT), Inc",7001280,3/4/2020,3/24/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,No Action Requested/Required,Company Position Upheld,0,Closed,20
32128,Foremost Property and Casualty Insurance Company,7021427,4/29/2019,5/22/2019,Mobile Homeowner,Mobile Home,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,23
32129,Ohio Security Insurance Company,7018412,10/22/2019,1/21/2020,General,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,91
32130,"Sentinel Insurance Company, Ltd",7021877,5/16/2019,6/7/2019,Homeowners,Homeowners,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,22
32131,"Anthem Health Plans, Inc",7001327,3/9/2020,3/25/2020,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Insufficient Information,Company Position Upheld,0,Closed,16
32132,United Services Automobile Association,7007196,1/12/2018,2/23/2018,Other [Enter Coverage],Liability,Underwriting,No Subreason,No Action Requested/Required,Company Position Upheld,0,Closed,42
32133,Life Insurance Company of North America,7009917,5/27/2021,6/16/2021,Group,Disability Income,Claim Handling,Claim Procedure,No Action Requested/Required,Company Position Upheld,0,Closed,20
